0 2 0 -1 1059 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_26_gar_offset_0 0.976937
0 2 1 -1 1511 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_18_gar_offset_0 0.980532
0 2 2 -1 1621 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_7_gar_offset_0 0.849581
0 2 3 -1 1962 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_35_gar_offset_0 0.979042
0 2 4 -1 2795 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_6_gar_offset_0 0.873437
0 2 5 -1 2265 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_2_gar_offset_0 0.989083
0 2 6 -1 3387 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_37_gar_offset_0 0.969099
0 2 7 -1 3035 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_32_gar_offset_0 0.980297
0 2 8 -1 2224 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_0 0.995078
0 2 9 8 164 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_4 0.0733781
0 2 10 8 13 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_2 0.00581655
0 2 11 8 35 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_3 0.01566
0 2 12 8 92 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_1 0.0411633
0 2 13 8 461 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_5 0.206264
0 2 14 8 219 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_9 0.0979866
0 2 15 8 348 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_10 0.155705
0 2 16 8 423 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_6 0.189262
0 2 17 8 247 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_7 0.110515
0 2 18 8 407 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_2_pattern_38_gar_offset_8 0.182103
0 3 19 -1 964 ./gar_dbpedia_test_2_5_100s_match//gar_match_worker_0_level_3_pattern_64_gar_offset_0 0.985685
